Round Number,Date,Team_1,Team_2,Location,Results
1,05-10-2023,England,New Zealand,"Narendra Modi Stadium, Ahmedabad",
1,06-10-2023,Pakistan,Netherlands,"Rajiv Gandhi International Stadium, Hyderabad",
1,07-10-2023,Bangladesh,Afghanistan,Himachal Pradesh Cricket Association Stadium,
1,07-10-2023,South Africa,Sri Lanka,"Arun Jaitley Stadium, Delhi",
1,08-10-2023,India,Australia,"MA Chidambaram, Chennai",
1,09-10-2023,New Zealand,Netherlands,"Rajiv Gandhi International Stadium, Hyderabad",
1,10-10-2023,England,Bangladesh,Himachal Pradesh Cricket Association Stadium,
1,10-10-2023,Pakistan,Sri Lanka,"Rajiv Gandhi International Stadium, Hyderabad",
1,11-10-2023,India,Afghanistan,"Arun Jaitley Stadium, Delhi",
1,12-10-2023,Australia,South Africa,"Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium, Lucknow",
1,13-10-2023,New Zealand,Bangladesh,"MA Chidambaram, Chennai",
1,14-10-2023,India,Pakistan,"Narendra Modi Stadium, Ahmedabad",
1,15-10-2023,England,Afghanistan,"Arun Jaitley Stadium, Delhi",
1,16-10-2023,Australia,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium, Lucknow",
1,17-10-2023,South Africa,Netherlands,Himachal Pradesh Cricket Association Stadium,
1,18-10-2023,New Zealand,Afghanistan,"MA Chidambaram, Chennai",
1,19-10-2023,India,Bangladesh,"Maharashtra Cricket Association Stadium, Pune",
1,20-10-2023,Australia,Pakistan,"M. Chinnaswamy Stadium, Bengaluru",
1,21-10-2023,Netherlands,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium, Lucknow",
1,21-10-2023,England,South Africa,"Wankhede Stadium, Mumbai",
1,22-10-2023,India,New Zealand,Himachal Pradesh Cricket Association Stadium,
1,23-10-2023,Pakistan,Afghanistan,"MA Chidambaram, Chennai",
1,24-10-2023,South Africa,Bangladesh,"Wankhede Stadium, Mumbai",
1,25-10-2023,Australia,Netherlands,"Arun Jaitley Stadium, Delhi",
1,26-10-2023,England,Sri Lanka,"M. Chinnaswamy Stadium, Bengaluru",
1,27-10-2023,Pakistan,South Africa,"MA Chidambaram, Chennai",
1,28-10-2023,Australia,New Zealand,Himachal Pradesh Cricket Association Stadium,
1,28-10-2023,Netherlands,Bangladesh,"Eden Gardens, Kolkata",
1,29-10-2023,India,England,"Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium, Lucknow",
1,30-10-2023,Afghanistan,Sri Lanka,"Maharashtra Cricket Association Stadium, Pune",
1,31-10-2023,Pakistan,Bangladesh,"Eden Gardens, Kolkata",
1,01-11-2023,New Zealand,South Africa,"Maharashtra Cricket Association Stadium, Pune",
1,02-11-2023,India,Sri Lanka,"Wankhede Stadium, Mumbai",
1,03-11-2023,Netherlands,Afghanistan,"Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium, Lucknow",
1,04-11-2023,New Zealand,Pakistan,"M. Chinnaswamy Stadium, Bengaluru",
1,04-11-2023,England,Australia,"Narendra Modi Stadium, Ahmedabad",
1,05-11-2023,India,South Africa,"Eden Gardens, Kolkata",
1,06-11-2023,Bangladesh,Sri Lanka,"Arun Jaitley Stadium, Delhi",
1,07-11-2023,Australia,Afghanistan,"Wankhede Stadium, Mumbai",
1,08-11-2023,England,Netherlands,"Maharashtra Cricket Association Stadium, Pune",
1,09-11-2023,New Zealand,Sri Lanka,"M. Chinnaswamy Stadium, Bengaluru",
1,10-11-2023,South Africa,Afghanistan,"Narendra Modi Stadium, Ahmedabad",
1,11-11-2023,Australia,Bangladesh,"Maharashtra Cricket Association Stadium, Pune",
1,11-11-2023,England,Pakistan,"Eden Gardens, Kolkata",
1,12-11-2023,India,Netherlands,"M. Chinnaswamy Stadium, Bengaluru",
Semi Finals,15-11-2023,1st Place,4th Place,"Wankhede Stadium, Mumbai",
Semi Finals,16-11-2023,2nd Place,3rd Place,"Eden Gardens, Kolkata",
Finals,19-11-2023,Winner of Semi- Final 1,Winner of Semi- Final 2,"Narendra Modi Stadium, Ahmedabad",
